No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,d-spacing,TOF_alpha,TOF_Beta
83,1,3,1,3,8,0.1161,53.7826,3.5058,0.2046,0,0
84,2,1,0,4,4,0.116,53.8411,3.4975,0.205,0,0
85,2,3,2,2,8,0.116,53.9047,3.4886,0.2054,0,0
86,2,3,1,3,8,0.1159,53.9297,3.485,0.2056,0,0
87,1,4,2,0,4,0.1149,54.9912,3.3408,0.2131,0,0
88,2,4,2,0,4,0.1148,55.1422,3.321,0.2142,0,0
89,1,2,3,0,4,0.1146,55.3771,3.2906,0.2159,0,0
90,2,2,3,0,4,0.1144,55.5294,3.2711,0.217,0,0
91,1,5,0,1,4,0.1143,55.6983,3.2497,0.2182,0,0
92,2,5,0,1,4,0.1141,55.8517,3.2305,0.2193,0,0
93,1,1,1,4,8,0.1135,56.5343,3.1469,0.2243,0,0
94,1,2,2,3,8,0.1135,56.5452,3.1456,0.2244,0,0
95,1,4,2,1,8,0.1134,56.6852,3.1289,0.2254,0,0
96,2,1,1,4,8,0.1134,56.6903,3.1283,0.2254,0,0
97,2,2,2,3,8,0.1134,56.7013,3.127,0.2255,0,0
98,2,4,2,1,8,0.1132,56.8418,3.1104,0.2265,0,0
99,1,2,3,1,8,0.113,57.0636,3.0845,0.2281,0,0
100,1,2,0,4,4,0.113,57.1354,3.0762,0.2287,0,0
101,2,2,3,1,8,0.1129,57.2213,3.0662,0.2293,0,0
102,2,2,0,4,4,0.1128,57.2934,3.058,0.2298,0,0
103,1,5,1,1,8,0.1118,58.4735,2.9273,0.2386,0,0
104,2,5,1,1,8,0.1116,58.6359,2.9101,0.2398,0,0
105,1,1,3,2,8,0.1116,58.6842,2.905,0.2401,0,0
106,2,1,3,2,8,0.1115,58.8474,2.8878,0.2413,0,0
107,1,4,0,3,4,0.1114,58.9255,2.8797,0.2419,0,0
108,2,4,0,3,4,0.1113,59.0895,2.8627,0.2432,0,0
109,1,2,1,4,8,0.1106,59.8676,2.7843,0.249,0,0
110,2,2,1,4,8,0.1105,60.0347,2.7679,0.2503,0,0
111,1,5,0,2,4,0.1099,60.649,2.709,0.2549,0,0
112,2,5,0,2,4,0.1098,60.8188,2.6931,0.2562,0,0
113,1,4,2,2,8,0.1092,61.5855,2.6232,0.2621,0,0
114,1,4,1,3,8,0.1092,61.6084,2.6212,0.2623,0,0
115,2,4,2,2,8,0.1091,61.7585,2.6079,0.2634,0,0
116,2,4,1,3,8,0.109,61.7814,2.6059,0.2636,0,0
117,1,2,3,2,8,0.1089,61.9452,2.5915,0.2648,0,0
118,1,3,2,3,8,0.1088,62.0383,2.5834,0.2656,0,0
119,2,2,3,2,8,0.1088,62.1194,2.5764,0.2662,0,0
120,2,3,2,3,8,0.1087,62.2128,2.5683,0.2669,0,0
121,1,3,3,1,8,0.1084,62.5283,2.5415,0.2693,0,0
122,1,3,0,4,4,0.1084,62.5962,2.5357,0.2699,0,0
123,2,3,3,1,8,0.1083,62.7045,2.5267,0.2707,0,0
124,2,3,0,4,4,0.1083,62.7726,2.521,0.2712,0,0
125,1,5,1,2,8,0.1079,63.2883,2.4787,0.2752,0,0
126,2,5,1,2,8,0.1077,63.4672,2.4643,0.2766,0,0
127,1,0,2,4,4,0.1077,63.516,2.4604,0.277,0,0
128,2,0,2,4,4,0.1076,63.6957,2.4462,0.2784,0,0
129,1,1,2,4,8,0.1069,64.5662,2.3791,0.2853,0,0
130,2,1,2,4,8,0.1068,64.7496,2.3655,0.2867,0,0
131,1,3,1,4,8,0.1065,65.1905,2.3331,0.2902,0,0
132,2,3,1,4,8,0.1064,65.3761,2.3197,0.2917,0,0
133,1,0,3,3,4,0.1062,65.5491,2.3074,0.293,0,0
134,2,0,3,3,4,0.1061,65.736,2.2942,0.2945,0,0
135,1,6,0,0,2,0.1059,65.9997,2.2759,0.2966,0,0
136,2,6,0,0,2,0.1058,66.1882,2.2629,0.2981,0,0
137,1,5,2,1,8,0.1057,66.3641,2.2509,0.2995,0,0
138,2,5,2,1,8,0.1056,66.5539,2.2382,0.3011,0,0
139,1,1,3,3,8,0.1056,66.5822,2.2363,0.3013,0,0
140,2,1,3,3,8,0.1054,66.7728,2.2236,0.3028,0,0
141,1,3,3,2,8,0.1052,67.1749,2.1973,0.306,0,0
142,2,3,3,2,8,0.1051,67.3677,2.1849,0.3076,0,0
143,1,6,0,1,4,0.105,67.5252,2.1749,0.3089,0,0
144,1,2,2,4,8,0.1049,67.6645,2.1661,0.31,0,0
145,2,6,0,1,4,0.1048,67.7193,2.1627,0.3104,0,0
146,2,2,2,4,8,0.1048,67.859,2.154,0.3116,0,0
147,1,1,0,5,4,0.1046,68.1661,2.1351,0.314,0,0
148,1,4,3,0,4,0.1045,68.2585,2.1295,0.3148,0,0
149,2,1,0,5,4,0.1045,68.3625,2.1232,0.3156,0,0
150,1,5,0,3,4,0.1044,68.4177,2.1198,0.3161,0,0
151,2,4,3,0,4,0.1044,68.4553,2.1176,0.3164,0,0
152,1,6,1,0,4,0.1044,68.5257,2.1134,0.317,0,0
153,2,5,0,3,4,0.1043,68.615,2.108,0.3177,0,0
154,2,6,1,0,4,0.1043,68.7234,2.1016,0.3186,0,0
155,1,4,2,3,8,0.1039,69.2969,2.0683,0.3232,0,0
156,2,4,2,3,8,0.1038,69.4975,2.0569,0.3249,0,0
157,1,0,4,0,2,0.1038,69.5437,2.0543,0.3253,0,0
158,1,2,3,3,8,0.1037,69.6353,2.0492,0.326,0,0
159,1,0,1,5,4,0.1037,69.6508,2.0483,0.3261,0,0
160,2,0,4,0,2,0.1037,69.7452,2.043,0.3269,0,0
161,1,4,3,1,8,0.1037,69.7599,2.0422,0.327,0,0
162,1,4,0,4,4,0.1036,69.8241,2.0387,0.3275,0,0
163,2,2,3,3,8,0.1036,69.8371,2.0379,0.3277,0,0
164,2,0,1,5,4,0.1036,69.8528,2.0371,0.3278,0,0
165,2,4,3,1,8,0.1036,69.9622,2.031,0.3287,0,0
166,1,6,1,1,8,0.1035,70.0244,2.0276,0.3292,0,0
167,2,4,0,4,4,0.1035,70.0267,2.0275,0.3292,0,0
168,2,6,1,1,8,0.1034,70.2277,2.0166,0.3309,0,0
169,1,1,1,5,8,0.1032,70.6547,1.9937,0.3344,0,0
170,2,1,1,5,8,0.1031,70.8604,1.983,0.3361,0,0
171,1,5,2,2,8,0.1031,70.881,1.9819,0.3362,0,0
172,1,5,1,3,8,0.1031,70.9023,1.9808,0.3364,0,0
173,2,5,2,2,8,0.103,71.0876,1.9712,0.3379,0,0
174,2,5,1,3,8,0.103,71.1089,1.9701,0.3381,0,0
175,1,2,0,5,4,0.103,71.1871,1.9661,0.3388,0,0
176,2,2,0,5,4,0.1029,71.3949,1.9555,0.3405,0,0
177,1,6,0,2,4,0.1026,72.008,1.9251,0.3456,0,0
178,1,1,4,1,8,0.1026,72.0281,1.9241,0.3457,0,0
179,2,6,0,2,4,0.1025,72.2189,1.9149,0.3473,0,0
180,2,1,4,1,8,0.1025,72.2392,1.9139,0.3475,0,0
181,1,4,1,4,8,0.1025,72.2872,1.9116,0.3479,0,0
182,2,4,1,4,8,0.1024,72.4992,1.9015,0.3496,0,0
183,1,3,2,4,8,0.1023,72.6845,1.8928,0.3512,0,0
184,2,3,2,4,8,0.1022,72.8981,1.8829,0.353,0,0
185,1,2,4,0,4,0.102,73.5263,1.8544,0.3582,0,0
186,1,2,1,5,8,0.102,73.631,1.8498,0.3591,0,0
187,2,2,4,0,4,0.1019,73.7431,1.8449,0.36,0,0
188,2,2,1,5,8,0.1019,73.8483,1.8403,0.3609,0,0
189,1,4,3,2,8,0.1018,74.1832,1.8258,0.3637,0,0
190,2,4,3,2,8,0.1017,74.4027,1.8165,0.3656,0,0
191,1,6,1,2,8,0.1017,74.4412,1.8149,0.3659,0,0
192,1,3,3,3,8,0.1017,74.5975,1.8083,0.3672,0,0
193,2,6,1,2,8,0.1016,74.6617,1.8057,0.3677,0,0
194,2,3,3,3,8,0.1016,74.8186,1.7992,0.3691,0,0
195,1,2,4,1,8,0.1015,74.9826,1.7925,0.3704,0,0
196,2,2,4,1,8,0.1015,75.2053,1.7835,0.3723,0,0
197,1,0,4,2,4,0.1014,75.4256,1.7747,0.3742,0,0
198,2,0,4,2,4,0.1014,75.6501,1.7659,0.3761,0,0
199,1,6,2,0,4,0.1013,75.8705,1.7573,0.3779,0,0
200,2,6,2,0,4,0.1013,76.0968,1.7487,0.3799,0,0
201,1,3,0,5,4,0.1013,76.1086,1.7482,0.38,0,0
202,2,3,0,5,4,0.1012,76.3359,1.7397,0.3819,0,0
203,1,1,4,2,8,0.1012,76.3991,1.7373,0.3824,0,0
204,2,1,4,2,8,0.1012,76.6275,1.7289,0.3844,0,0
205,1,1,3,4,8,0.1011,76.9275,1.718,0.3869,0,0
206,2,1,3,4,8,0.1011,77.1581,1.7097,0.3889,0,0
207,1,6,2,1,8,0.101,77.3115,1.7043,0.3902,0,0
208,2,6,2,1,8,0.101,77.5438,1.6962,0.3922,0,0
209,1,1,2,5,8,0.101,77.9192,1.6834,0.3954,0,0
210,2,1,2,5,8,0.1009,78.154,1.6756,0.3974,0,0
211,1,5,2,3,8,0.1009,78.1582,1.6754,0.3974,0,0
212,2,5,2,3,8,0.1009,78.3939,1.6676,0.3994,0,0
213,1,3,1,5,8,0.1009,78.4966,1.6643,0.4003,0,0
214,1,5,3,1,8,0.1009,78.601,1.6609,0.4012,0,0
215,1,5,0,4,4,0.1009,78.6625,1.6589,0.4017,0,0
216,2,3,1,5,8,0.1009,78.7338,1.6566,0.4023,0,0
217,2,5,3,1,8,0.1009,78.8386,1.6533,0.4032,0,0
218,2,5,0,4,4,0.1009,78.9004,1.6513,0.4037,0,0
219,1,6,0,3,4,0.1009,79.2477,1.6405,0.4067,0,0
220,1,2,4,2,8,0.1009,79.2969,1.639,0.4071,0,0
221,2,6,0,3,4,0.1009,79.4881,1.6331,0.4088,0,0
222,1,4,2,4,8,0.1009,79.4976,1.6328,0.4089,0,0
223,2,2,4,2,8,0.1009,79.5375,1.6316,0.4092,0,0
224,2,4,2,4,8,0.1009,79.7391,1.6256,0.4109,0,0
225,1,2,3,4,8,0.1009,79.8197,1.6232,0.4116,0,0
226,1,3,4,1,8,0.1009,79.8216,1.6231,0.4116,0,0
227,2,2,3,4,8,0.1009,80.0626,1.616,0.4137,0,0
228,2,3,4,1,8,0.1009,80.0644,1.6159,0.4137,0,0
229,1,7,0,1,4,0.1009,80.3259,1.6084,0.416,0,0
230,2,7,0,1,4,0.1009,80.5709,1.6014,0.4181,0,0
231,1,2,2,5,8,0.1009,80.8017,1.5949,0.4201,0,0
232,1,5,1,4,8,0.1009,81.0292,1.5887,0.422,0,0
233,2,2,2,5,8,0.1009,81.0488,1.5882,0.4222,0,0
234,2,5,1,4,8,0.101,81.2773,1.582,0.4242,0,0
235,1,4,3,3,8,0.101,81.359,1.5798,0.4249,0,0
236,1,6,2,2,8,0.101,81.5899,1.5737,0.4269,0,0
237,2,4,3,3,8,0.101,81.6086,1.5732,0.427,0,0
238,1,6,1,3,8,0.101,81.6102,1.5731,0.427,0,0
239,2,6,2,2,8,0.1011,81.8405,1.5672,0.429,0,0
240,2,6,1,3,8,0.1011,81.8609,1.5666,0.4292,0,0
241,1,7,1,1,8,0.1012,82.6814,1.5462,0.4363,0,0
242,1,4,0,5,4,0.1012,82.8351,1.5425,0.4376,0,0
243,1,5,3,2,8,0.1013,82.8627,1.5418,0.4379,0,0
244,2,7,1,1,8,0.1013,82.9368,1.5401,0.4385,0,0
245,2,4,0,5,4,0.1013,83.0912,1.5364,0.4399,0,0
246,2,5,3,2,8,0.1013,83.119,1.5358,0.4401,0,0
247,1,0,0,6,2,0.1013,83.1488,1.5351,0.4404,0,0
248,2,0,0,6,2,0.1014,83.4064,1.5291,0.4426,0,0
249,1,1,4,3,8,0.1014,83.5211,1.5265,0.4436,0,0
250,2,1,4,3,8,0.1015,83.7804,1.5207,0.4458,0,0
251,1,3,4,2,8,0.1016,84.0695,1.5143,0.4483,0,0
252,1,1,0,6,4,0.1016,84.0989,1.5137,0.4486,0,0
253,2,3,4,2,8,0.1017,84.3313,1.5087,0.4506,0,0
254,2,1,0,6,4,0.1017,84.3608,1.5081,0.4509,0,0
255,1,7,0,2,4,0.1018,84.5687,1.5037,0.4527,0,0
256,1,3,3,4,8,0.1018,84.5861,1.5033,0.4528,0,0
257,2,7,0,2,4,0.1019,84.8328,1.4983,0.455,0,0
258,2,3,3,4,8,0.1019,84.8503,1.4979,0.4551,0,0
259,1,4,4,0,4,0.102,85.0767,1.4933,0.4571,0,0
260,1,4,1,5,8,0.102,85.1775,1.4913,0.458,0,0
261,2,4,4,0,4,0.1021,85.3431,1.4881,0.4594,0,0
262,2,4,1,5,8,0.1021,85.4444,1.4861,0.4603,0,0
263,1,3,2,5,8,0.1022,85.5577,1.4839,0.4613,0,0
264,2,3,2,5,8,0.1023,85.8264,1.4788,0.4636,0,0
265,1,2,4,3,8,0.1026,86.3651,1.4689,0.4683,0,0
266,1,1,1,6,8,0.1026,86.4365,1.4677,0.4689,0,0
267,1,4,4,1,8,0.1026,86.4822,1.4669,0.4693,0,0
268,2,2,4,3,8,0.1027,86.6376,1.4641,0.4707,0,0
269,2,1,1,6,8,0.1028,86.7094,1.4629,0.4713,0,0
270,2,4,4,1,8,0.1028,86.7553,1.4621,0.4717,0,0
271,1,7,1,2,8,0.1029,86.9048,1.4595,0.473,0,0
272,1,2,0,6,4,0.1029,86.9405,1.4589,0.4733,0,0
273,2,7,1,2,8,0.103,87.18,1.4549,0.4754,0,0
274,2,2,0,6,4,0.1031,87.2158,1.4543,0.4757,0,0
275,1,6,3,0,4,0.1033,87.6599,1.4471,0.4796,0,0
276,2,6,3,0,4,0.1035,87.9387,1.4428,0.482,0,0
277,1,5,2,4,8,0.1036,88.0538,1.441,0.483,0,0
278,2,5,2,4,8,0.1038,88.3345,1.4368,0.4855,0,0
279,1,6,2,3,8,0.104,88.6284,1.4325,0.488,0,0
280,1,0,3,5,4,0.1041,88.7115,1.4313,0.4888,0,0
281,2,6,2,3,8,0.1042,88.912,1.4285,0.4905,0,0
282,2,0,3,5,4,0.1043,88.9955,1.4273,0.4912,0,0
283,1,6,3,1,8,0.1043,89.0622,1.4264,0.4918,0,0
284,1,6,0,4,4,0.1044,89.1225,1.4256,0.4923,0,0
285,1,2,1,6,8,0.1045,89.2713,1.4236,0.4936,0,0
286,2,6,3,1,8,0.1045,89.348,1.4226,0.4943,0,0
287,2,6,0,4,4,0.1046,89.4085,1.4218,0.4948,0,0
288,2,2,1,6,8,0.1047,89.5581,1.4198,0.4961,0,0
289,1,1,3,5,8,0.1048,89.6558,1.4185,0.497,0,0
290,1,7,2,1,8,0.1048,89.6896,1.4181,0.4973,0,0
291,1,5,3,3,8,0.105,89.8896,1.4156,0.499,0,0
292,2,1,3,5,8,0.105,89.9445,1.4149,0.4995,0,0
293,2,7,2,1,8,0.1051,89.9785,1.4145,0.4998,0,0
294,2,5,3,3,8,0.1052,90.1795,1.412,0.5016,0,0
295,1,4,4,2,8,0.1057,90.6895,1.406,0.506,0,0
296,2,4,4,2,8,0.106,90.9835,1.4028,0.5086,0,0
297,1,3,4,3,8,0.1061,91.0886,1.4016,0.5095,0,0
298,1,4,3,4,8,0.1062,91.2037,1.4004,0.5105,0,0
299,1,5,0,5,4,0.1063,91.3517,1.3988,0.5118,0,0
300,2,3,4,3,8,0.1064,91.3846,1.3985,0.5121,0,0
301,1,6,1,4,8,0.1064,91.4521,1.3978,0.5127,0,0
302,2,4,3,4,8,0.1065,91.5003,1.3973,0.5131,0,0
303,1,7,0,3,4,0.1066,91.5855,1.3964,0.5138,0,0
304,2,5,0,5,4,0.1066,91.6491,1.3958,0.5144,0,0
305,1,3,0,6,4,0.1067,91.6632,1.3957,0.5145,0,0
306,2,6,1,4,8,0.1067,91.7501,1.3948,0.5153,0,0
307,2,7,0,3,4,0.1069,91.8842,1.3935,0.5164,0,0
308,2,3,0,6,4,0.107,91.9622,1.3927,0.5171,0,0
309,1,4,2,5,8,0.1072,92.1721,1.3907,0.519,0,0
310,1,0,5,1,4,0.1074,92.3429,1.3892,0.5204,0,0
311,1,0,4,4,4,0.1074,92.4033,1.3886,0.521,0,0
312,2,4,2,5,8,0.1075,92.4738,1.388,0.5216,0,0
313,1,0,2,6,4,0.1075,92.4837,1.3879,0.5217,0,0
314,1,2,3,5,8,0.1075,92.4892,1.3879,0.5217,0,0
315,2,0,5,1,4,0.1077,92.6456,1.3865,0.5231,0,0
316,2,0,4,4,4,0.1078,92.7062,1.386,0.5236,0,0
317,2,0,2,6,4,0.1079,92.7871,1.3853,0.5243,0,0
318,2,2,3,5,8,0.1079,92.7926,1.3852,0.5244,0,0
319,1,8,0,0,2,0.1083,93.1347,1.3824,0.5273,0,0
320,1,6,3,2,8,0.1084,93.2691,1.3814,0.5285,0,0
321,1,1,5,1,8,0.1085,93.2883,1.3812,0.5287,0,0
322,1,1,4,4,8,0.1085,93.3487,1.3807,0.5292,0,0
323,1,1,2,6,8,0.1086,93.4292,1.3801,0.5299,0,0
324,2,8,0,0,2,0.1086,93.4415,1.38,0.53,0,0
325,2,6,3,2,8,0.1088,93.5767,1.379,0.5312,0,0
326,2,1,5,1,8,0.1088,93.596,1.3789,0.5314,0,0
327,2,1,4,4,8,0.1089,93.6567,1.3784,0.5319,0,0
328,1,5,1,5,8,0.1089,93.6835,1.3782,0.5321,0,0
329,2,1,2,6,8,0.109,93.7376,1.3778,0.5326,0,0
330,1,7,2,2,8,0.1092,93.8977,1.3767,0.534,0,0
331,1,7,1,3,8,0.1092,93.9178,1.3766,0.5342,0,0
332,2,5,1,5,8,0.1093,93.9934,1.376,0.5348,0,0
333,1,3,1,6,8,0.1093,93.9956,1.376,0.5348,0,0
334,2,7,2,2,8,0.1096,94.2087,1.3746,0.5367,0,0
335,2,7,1,3,8,0.1096,94.2289,1.3745,0.5369,0,0
336,2,3,1,6,8,0.1097,94.3072,1.374,0.5376,0,0
337,1,8,0,1,4,0.11,94.5396,1.3725,0.5396,0,0
338,1,2,5,0,4,0.1103,94.7227,1.3714,0.5412,0,0
339,2,8,0,1,4,0.1105,94.8541,1.3706,0.5423,0,0
340,1,5,4,1,8,0.1107,94.9885,1.3699,0.5435,0,0
341,2,2,5,0,4,0.1107,95.0383,1.3696,0.5439,0,0
342,2,5,4,1,8,0.1111,95.3055,1.3682,0.5462,0,0
343,1,8,1,0,4,0.1113,95.4709,1.3673,0.5477,0,0
344,2,8,1,0,4,0.1118,95.7906,1.3658,0.5504,0,0
345,1,2,5,1,8,0.1123,96.1308,1.3643,0.5534,0,0
346,1,2,4,4,8,0.1124,96.1914,1.3641,0.5539,0,0
347,1,2,2,6,8,0.1125,96.2723,1.3637,0.5546,0,0
348,2,2,5,1,8,0.1128,96.4542,1.3631,0.5562,0,0
349,2,2,4,4,8,0.1129,96.5152,1.3628,0.5567,0,0
350,2,2,2,6,8,0.113,96.5965,1.3625,0.5574,0,0
351,1,8,1,1,8,0.1135,96.8808,1.3616,0.5599,0,0
352,2,8,1,1,8,0.114,97.2085,1.3606,0.5627,0,0
353,1,3,3,5,8,0.114,97.2286,1.3605,0.5629,0,0
354,1,1,5,2,8,0.1145,97.5131,1.3598,0.5654,0,0
355,2,3,3,5,8,0.1146,97.5583,1.3597,0.5658,0,0
356,1,4,4,3,8,0.1149,97.7213,1.3593,0.5672,0,0
357,2,1,5,2,8,0.1151,97.8445,1.3591,0.5682,0,0
358,2,4,4,3,8,0.1154,98.0539,1.3587,0.5701,0,0
359,1,4,0,6,4,0.1159,98.3013,1.3583,0.5722,0,0
360,1,6,2,4,8,0.1162,98.4712,1.358,0.5737,0,0
361,2,4,0,6,4,0.1165,98.6374,1.3579,0.5751,0,0
362,1,8,0,2,4,0.1167,98.7741,1.3577,0.5763,0,0
363,2,6,2,4,8,0.1168,98.8083,1.3577,0.5766,0,0
364,2,8,0,2,4,0.1173,99.113,1.3575,0.5792,0,0
365,1,5,4,2,8,0.1176,99.2271,1.3574,0.5802,0,0
366,2,5,4,2,8,0.1182,99.5688,1.3574,0.5831,0,0
367,1,5,3,4,8,0.1186,99.7484,1.3574,0.5847,0,0
368,2,5,3,4,8,0.1192,100.0932,1.3576,0.5876,0,0
369,1,6,3,3,8,0.1197,100.3317,1.3578,0.5897,0,0
370,1,2,5,2,8,0.1198,100.3809,1.3578,0.5901,0,0
371,1,4,1,6,8,0.1204,100.6632,1.3582,0.5925,0,0
372,2,6,3,3,8,0.1204,100.6801,1.3582,0.5927,0,0
373,2,2,5,2,8,0.1205,100.7296,1.3582,0.5931,0,0
374,1,5,2,5,8,0.1205,100.732,1.3583,0.5931,0,0
375,1,3,5,1,8,0.1209,100.9058,1.3585,0.5946,0,0
376,1,3,4,4,8,0.121,100.9672,1.3586,0.5951,0,0
377,1,7,2,3,8,0.121,100.97,1.3586,0.5951,0,0
378,2,4,1,6,8,0.1211,101.0137,1.3587,0.5955,0,0
379,1,3,2,6,8,0.1212,101.0491,1.3588,0.5958,0,0
380,2,5,2,5,8,0.1213,101.0829,1.3588,0.5961,0,0
381,1,8,1,2,8,0.1214,101.1394,1.3589,0.5966,0,0
382,2,3,5,1,8,0.1216,101.2578,1.3592,0.5976,0,0
383,2,3,4,4,8,0.1218,101.3196,1.3593,0.5981,0,0
384,2,7,2,3,8,0.1218,101.3224,1.3593,0.5982,0,0
385,2,3,2,6,8,0.1219,101.402,1.3595,0.5988,0,0
386,1,7,3,1,8,0.122,101.4122,1.3595,0.5989,0,0
387,1,7,0,4,4,0.1221,101.4737,1.3596,0.5995,0,0
388,2,8,1,2,8,0.1221,101.4928,1.3597,0.5996,0,0
389,2,7,3,1,8,0.1227,101.7674,1.3604,0.602,0,0
