No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,d-spacing,TOF_alpha,TOF_Beta
1,1,1,0,1,4,0.1578,16.4522,42.8365,0.0205,0,0
2,2,1,0,1,4,0.1577,16.4941,42.6148,0.0206,0,0
3,1,0,1,1,4,0.1526,20.7914,26.5285,0.0326,0,0
4,2,0,1,1,4,0.1525,20.8446,26.3893,0.0327,0,0
5,1,2,0,0,2,0.1524,20.9196,26.1948,0.033,0,0
6,2,2,0,0,2,0.1524,20.9732,26.0573,0.0331,0,0
7,1,1,1,1,8,0.1496,23.3067,20.956,0.0408,0,0
8,2,1,1,1,8,0.1495,23.3666,20.845,0.041,0,0
9,1,2,0,1,4,0.1481,24.5474,18.8179,0.0452,0,0
10,2,2,0,1,4,0.1481,24.6105,18.7177,0.0454,0,0
11,1,0,0,2,2,0.1469,25.5587,17.3011,0.0489,0,0
12,2,0,0,2,2,0.1469,25.6245,17.2086,0.0492,0,0
13,1,2,1,0,4,0.1456,26.6931,15.8017,0.0533,0,0
14,2,2,1,0,4,0.1455,26.7619,15.7168,0.0536,0,0
15,1,1,0,2,4,0.1445,27.6666,14.6598,0.0572,0,0
16,2,1,0,2,4,0.1444,27.7381,14.5807,0.0575,0,0
17,1,2,1,1,8,0.1422,29.6618,12.6631,0.0655,0,0
18,2,2,1,1,8,0.1421,29.7386,12.5942,0.0659,0,0
19,1,1,1,2,8,0.1391,32.3273,10.5547,0.0775,0,0
20,2,1,1,2,8,0.139,32.4114,10.4966,0.0779,0,0
21,1,0,2,0,2,0.1381,33.1362,10.0142,0.0813,0,0
22,2,0,2,0,2,0.138,33.2225,9.9589,0.0817,0,0
23,1,2,0,2,4,0.138,33.2563,9.9373,0.0819,0,0
24,2,2,0,2,4,0.1379,33.343,9.8824,0.0823,0,0
25,1,3,0,1,4,0.137,34.1857,9.37,0.0864,0,0
26,2,3,0,1,4,0.1368,34.2749,9.318,0.0868,0,0
27,1,1,2,1,8,0.1335,37.2095,7.8133,0.1018,0,0
28,1,2,1,2,8,0.1334,37.291,7.7766,0.1022,0,0
29,2,1,2,1,8,0.1334,37.3072,7.7694,0.1023,0,0
30,2,2,1,2,8,0.1333,37.3889,7.7329,0.1027,0,0
31,1,3,1,1,8,0.1325,38.1344,7.4108,0.1067,0,0
32,2,3,1,1,8,0.1324,38.2347,7.3689,0.1073,0,0
33,1,2,2,0,4,0.131,39.5152,6.8628,0.1143,0,0
34,2,2,2,0,4,0.1308,39.6194,6.8238,0.1149,0,0
35,1,1,0,3,4,0.1302,40.2402,6.5979,0.1183,0,0
36,2,1,0,3,4,0.13,40.3465,6.5603,0.1189,0,0
37,1,3,0,2,4,0.1292,41.0769,6.31,0.1231,0,0
38,2,3,0,2,4,0.1291,41.1856,6.2739,0.1237,0,0
39,1,2,2,1,8,0.1286,41.6696,6.1168,0.1265,0,0
40,2,2,2,1,8,0.1285,41.78,6.0817,0.1271,0,0
41,1,0,2,2,4,0.1279,42.3097,5.9174,0.1302,0,0
42,1,0,1,3,4,0.1279,42.3396,5.9083,0.1304,0,0
43,2,0,2,2,4,0.1278,42.422,5.8834,0.1309,0,0
44,2,0,1,3,4,0.1277,42.4519,5.8744,0.1311,0,0
45,1,4,0,0,2,0.1276,42.5803,5.8359,0.1318,0,0
46,2,4,0,0,2,0.1275,42.6934,5.8023,0.1325,0,0
47,1,1,2,2,8,0.1264,43.6942,5.5169,0.1385,0,0
48,1,1,1,3,8,0.1264,43.7232,5.5089,0.1387,0,0
49,2,1,2,2,8,0.1263,43.8105,5.485,0.1392,0,0
50,2,1,1,3,8,0.1262,43.8397,5.477,0.1394,0,0
51,1,2,0,3,4,0.1256,44.4465,5.3153,0.143,0,0
52,1,3,1,2,8,0.1255,44.5064,5.2997,0.1434,0,0
53,2,2,0,3,4,0.1255,44.565,5.2845,0.1438,0,0
54,1,4,0,1,4,0.1254,44.6131,5.2721,0.1441,0,0
55,2,3,1,2,8,0.1254,44.6251,5.269,0.1441,0,0
56,2,4,0,1,4,0.1253,44.7322,5.2416,0.1448,0,0
57,1,4,1,0,4,0.124,45.9192,4.9503,0.1522,0,0
58,2,4,1,0,4,0.1239,46.0421,4.9215,0.1529,0,0
59,1,2,2,2,8,0.1222,47.6545,4.5649,0.1632,0,0
60,1,2,1,3,8,0.1222,47.6817,4.5592,0.1634,0,0
61,2,2,2,2,8,0.1221,47.7827,4.5382,0.164,0,0
62,2,2,1,3,8,0.122,47.8099,4.5325,0.1642,0,0
63,1,4,1,1,8,0.122,47.8396,4.5264,0.1644,0,0
64,2,4,1,1,8,0.1219,47.9683,4.4999,0.1652,0,0
65,1,3,2,1,8,0.1215,48.3488,4.4228,0.1677,0,0
66,2,3,2,1,8,0.1214,48.479,4.3969,0.1686,0,0
67,1,4,0,2,4,0.1195,50.322,4.0526,0.1808,0,0
68,2,4,0,2,4,0.1193,50.4583,4.0288,0.1817,0,0
69,1,3,0,3,4,0.119,50.8385,3.9632,0.1842,0,0
70,2,3,0,3,4,0.1188,50.9764,3.9399,0.1852,0,0
71,1,0,3,1,4,0.1174,52.4375,3.7044,0.1952,0,0
72,1,0,0,4,2,0.1173,52.5135,3.6927,0.1957,0,0
73,2,0,3,1,4,0.1172,52.5804,3.6825,0.1962,0,0
74,2,0,0,4,2,0.1172,52.6567,3.6709,0.1967,0,0
75,1,1,2,3,8,0.1168,53.0787,3.6077,0.1996,0,0
76,2,1,2,3,8,0.1166,53.2237,3.5863,0.2007,0,0
77,1,4,1,2,8,0.1166,53.2864,3.5771,0.2011,0,0
78,2,4,1,2,8,0.1164,53.432,3.556,0.2021,0,0
79,1,1,3,1,8,0.1162,53.6194,3.529,0.2034,0,0
80,1,1,0,4,4,0.1162,53.6942,3.5183,0.204,0,0
81,1,3,2,2,8,0.1161,53.7576,3.5093,0.2044,0,0
82,2,1,3,1,8,0.1161,53.766,3.5081,0.2045,0,0
