system,lattice_a,lattice_b,lattice_c,lattice_an1,lattice_an1,lattice_an1
2,17.521192326044098,17.521192326044098,6.451160574919379,90,90,120
3,14.77805268904435,14.77805268904435,20.86889702646602,90,90,90
