No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,d-spacing,TOF_alpha,TOF_Beta
28,2,0,2,4,4,0.0999,44.2432,5.5836,0.1418,0,0
29,1,1,2,3,8,0.0995,45.9011,5.1448,0.1521,0,0
30,2,1,2,3,8,0.0995,46.0199,5.1153,0.1528,0,0
31,1,1,0,5,4,0.0994,46.0868,5.0987,0.1532,0,0
32,2,1,0,5,4,0.0994,46.2061,5.0694,0.154,0,0
33,1,0,0,6,2,0.0992,47.1668,4.842,0.1601,0,0
34,2,0,0,6,2,0.0992,47.2893,4.814,0.1609,0,0
35,1,0,3,1,4,0.0991,47.4511,4.7775,0.1619,0,0
36,2,0,3,1,4,0.0991,47.5744,4.7499,0.1627,0,0
37,1,2,0,0,2,0.099,48.4302,4.5644,0.1682,0,0
38,2,2,0,0,2,0.0989,48.5564,4.538,0.1691,0,0
39,1,2,0,2,4,0.0986,51.1001,4.0483,0.186,0,0
40,2,2,0,2,4,0.0986,51.2342,4.0247,0.1869,0,0
41,1,2,1,1,8,0.0986,51.7093,3.9425,0.1902,0,0
42,2,2,1,1,8,0.0985,51.8452,3.9194,0.1911,0,0
43,1,0,3,3,4,0.0985,52.7656,3.7683,0.1975,0,0
44,2,0,3,3,4,0.0985,52.9047,3.7462,0.1984,0,0
45,1,1,3,0,4,0.0985,53.0589,3.7219,0.1995,0,0
46,2,1,3,0,4,0.0985,53.1989,3.7,0.2005,0,0
47,1,1,3,2,8,0.0985,55.5683,3.3577,0.2173,0,0
48,2,1,3,2,8,0.0985,55.7161,3.3379,0.2184,0,0
49,1,1,1,6,8,0.0985,55.8915,3.3147,0.2196,0,0
50,2,1,1,6,8,0.0985,56.0403,3.2951,0.2207,0,0
51,1,1,2,5,8,0.0986,56.3845,3.2507,0.2232,0,0
52,2,1,2,5,8,0.0986,56.5348,3.2315,0.2243,0,0
53,1,2,1,3,8,0.0986,56.7351,3.2063,0.2257,0,0
54,2,2,1,3,8,0.0986,56.8866,3.1874,0.2269,0,0
55,1,0,2,6,4,0.0986,57.3221,3.1341,0.23,0,0
56,2,0,2,6,4,0.0987,57.4754,3.1157,0.2312,0,0
57,1,0,1,7,4,0.0987,58.0435,3.0487,0.2354,0,0
58,2,0,1,7,4,0.0988,58.1992,3.0308,0.2365,0,0
59,1,2,2,0,4,0.0988,58.4272,3.0048,0.2382,0,0
60,1,2,0,4,4,0.0988,58.5839,2.9872,0.2394,0,0
61,2,2,2,0,4,0.0988,58.5841,2.9871,0.2394,0,0
62,2,2,0,4,4,0.0988,58.7412,2.9696,0.2405,0,0
63,1,2,2,2,8,0.0993,60.7901,2.7551,0.256,0,0
64,2,2,2,2,8,0.0993,60.9546,2.739,0.2572,0,0
65,1,1,0,7,4,0.0994,61.3051,2.7051,0.2599,0,0
66,2,1,0,7,4,0.0994,61.4714,2.6893,0.2612,0,0
67,1,0,3,5,4,0.0997,62.4323,2.6009,0.2686,0,0
68,2,0,3,5,4,0.0998,62.6023,2.5857,0.2699,0,0
69,1,1,3,4,8,0.0998,62.6959,2.5774,0.2706,0,0
70,2,1,3,4,8,0.0998,62.8668,2.5625,0.272,0,0
71,1,0,4,0,2,0.1002,63.8835,2.4763,0.2799,0,0
72,2,0,4,0,2,0.1003,64.0584,2.462,0.2813,0,0
73,1,0,0,8,2,0.1004,64.477,2.4283,0.2846,0,0
74,2,0,0,8,2,0.1005,64.6539,2.4143,0.286,0,0
75,1,2,1,5,8,0.1011,66.0318,2.3101,0.2969,0,0
76,1,0,4,2,4,0.1011,66.1322,2.3028,0.2977,0,0
