No.,Dhkl,Mult,2theta/TOF,Intensity
1,4.705,6,18.892491385201122,0.16521257624945848
2,3.8416164132649517,6,23.191801379206737,0.5686210490429061
3,2.9757032782184454,12,30.08079195337764,0.4573043809635217
4,2.7164330165371893,6,33.030197654356414,100.0
5,2.514928286395914,12,35.76242145293168,16.613777136478426
6,2.3525,6,38.32450714945038,13.003851969680172
7,2.2179582703218044,6,40.74911205859317,5.93775505981106
8,2.1041399668273018,12,43.06000950288143,1.0851325589148388
9,2.0062187409062946,12,45.2751516143057,0.11474047643203267
10,1.9208082066324759,6,47.40849684407148,0.7486731703609192
11,1.8454528316503118,12,49.471161356756596,6.380198366033933
12,1.7180230887078711,12,53.419008355281086,4.8130538278460575
13,1.663468702741353,6,55.317917113638,52.754865333876594
14,1.6138016861910083,12,57.174224369773306,2.5172527141452856
15,1.5683333333333334,12,58.99250485041241,0.40413528532882775
16,1.5265035728404757,12,60.776732947569336,4.340493357101812
17,1.4878516391092227,12,62.53039464009339,0.9430905169100134
18,1.451994523143285,12,64.25657458887575,2.6911662812419155
19,1.4186108762383778,12,65.958024873462,24.551293898281553
20,1.3874288074175822,12,67.6372199435198,1.821633353617101
21,1.3582165082685946,6,69.29640107772907,1.7921418506592541
22,1.3307749621930824,12,70.93761275952484,2.3382338978193165
23,1.3049322116198516,12,72.5627327594723,0.9540078435719213
24,1.2805388044216506,6,74.17349727237587,2.864458262383885
25,1.257464143197957,12,75.77152213791815,1.342247497831412
26,1.2355935332099894,12,77.35832093985036,0.29339381744343435
