system,lattice_a,lattice_b,lattice_c,lattice_an1,lattice_an1,lattice_an1
1,3.3108805840884084,3.3108805840884084,3.3108805840884084,90,90,90
2,2.9792027250364863,2.9792027250364863,4.790308970044183,90,90,120
2,3.011705764076127,3.011705764076127,4.784678881000653,90,90,120
