system,lattice_a,lattice_b,lattice_c,lattice_an1,lattice_an1,lattice_an1
1,3.2306606091176384,3.2306606091176384,3.2306606091176384,90,90,90
2,3.0139439347947583,3.0139439347947583,4.684430228733608,90,90,120
2,2.9790030822064177,2.9790030822064177,4.776713917821412,90,90,120
